Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D29C;Impôts sur la masse salariale ou les effectifs employés;AUT;Autriche;EUR;Euro;5500,27;5616,93;5721,43;5892,12;6154,66;6511,51;7137,03;7347,07;7548,25;7911,96;8280,29;8574,29;8843,80;9075,46;9397,70;9176,72;9290,77;9618,07;9298,81;10118,84;10829,20;11442,04;12178,68
D61N;Cotisations sociales effectives des employeurs et des ménages;AUT;Autriche;EUR;Euro;32329,43;33139,09;34461,52;35830,91;37380,81;39000,48;40756,80;41266,43;42102,46;44036,64;45610,54;47538,84;49073,05;50700,05;52582,04;54683,28;57459,93;59905,19;59898,84;63187,12;66811,27;71740,47;77406,24
D91A;Impôts sur les transferts en capital;AUT;Autriche;EUR;Euro;148,08;157,01;154,38;139,66;131,89;155,17;142,67;129,78;44,84;50,83;31,67;30,16;31,63;84,24;24,51;16,85;84,03;10,82;13,89;13,01;42,83;90,66;29,95
D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;AUT;Autriche;EUR;Euro;97100,15;98655,74;101971,72;104488,98;108490,16;115557,90;121901,51;118509,84;121766,79;127966,96;133646,42;138839,73;143149,46;149315,91;150150,95;155246,03;163345,90;169638,59;160973,94;176543,63;192546,04;203293,88;214301,62
D59;Autres impôts courants;AUT;Autriche;EUR;Euro;1765,49;1817,65;1906,49;1977,56;2043,35;2147,92;2240,89;2293,36;2365,11;2393,16;2485,07;2564,84;2892,92;2917,88;2992,05;3189,37;3238,51;3316,84;3311,78;3394,93;3518,61;3576,25;3477,42
D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69;15386,99;15859,71;16562,44;17260,59;18091,21;18854,80;18947,29;19421,48;20302,11;21082,21;21921,96;22667,30;23378,50;24274,85;25285,31;26709,93;27826,35;27709,22;29184,45;31080,04;33441,57;36082,74
D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;77,33;78,72;79,60;85,31;96,64;102,04;105,50;110,16;116,27;110,43;103,79;104,61;99,11;47,90;29,07;19,11;17,22;18,25;9,41;7,58;13,91;15,32;16,62
D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;487,32;464,67;469,03;325,65;438,40;439,23;462,29;481,59;452,52;331,50;303,65;296,16;291,54;324,31;342,41;349,35;396,09;386,75;355,89;362,88;403,20;436,98;473,49
D29G;Sous-compensation de la TVA (régime forfaitaire);BEL;Belgique;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122D;Impôts généraux sur les ventes;BEL;Belgique;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D611V;Cotisations sociales effectives volontaires des employeurs;BEL;Belgique;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59C;Impôts sur la dépense;BEL;Belgique;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
