Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2004;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;18553,08
2004;D611;Cotisations sociales effectives à la charge des employeurs;AUT;Autriche;EUR;Euro;15859,71
2004;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;1008,05
2004;D613C;Cotisations sociales effectives obligatoires à la charge des ménages;AUT;Autriche;EUR;Euro;18374,66
2004;D613;Cotisations sociales effectives à la charge des ménages;AUT;Autriche;EUR;Euro;18601,81
2004;D214H;Autres taxes sur des services déterminés;AUT;Autriche;EUR;Euro;297,77
2004;D212;Impôts et droits sur les importations, à l'exclusion de la TVA;AUT;Autriche;EUR;Euro;4,83
2004;D613CS;Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants;AUT;Autriche;EUR;Euro;2345,31
2004;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;37103,47
2004;D59F;Autres impôts courants n.c.a.;AUT;Autriche;EUR;Euro;1906,49
2004;D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;0,90
2004;D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;3,94
2004;D214L;Autres impôts sur les produits n.c.a.;AUT;Autriche;EUR;Euro;6,13
2004;D2;Impôts sur la production et les importations;AUT;Autriche;EUR;Euro;35223,89
2004;D613CE;Cotisations sociales effectives obligatoires à la charge des salariés;AUT;Autriche;EUR;Euro;13838,84
2004;D51A;Impôts sur le revenu des personnes physiques ou des ménages non compris les gains de détention;AUT;Autriche;EUR;Euro;23960,52
2004;D29;Autres impôts sur la production;AUT;Autriche;EUR;Euro;7595,03
2004;D51O;Impôts sur le revenu des sociétés y compris les gains de détention;AUT;Autriche;EUR;Euro;5607,00
2004;D612;Cotisations sociales imputées à la charge des employeurs;AUT;Autriche;EUR;Euro;2641,95
2004;D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2190,51
2004;D613V;Cotisations sociales effectives volontaires des ménages;AUT;Autriche;EUR;Euro;227,15
2004;D51E;Autres impôts sur le revenu n.c.a.;AUT;Autriche;EUR;Euro;657,92
2004;ODC;Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées), après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;104613,68
2004;D29H;Autres impôts sur la production n.c.a.;AUT;Autriche;EUR;Euro;1252,14
2004;D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;AUT;Autriche;EUR;Euro;23960,52
2004;D5;Impôts courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;32131,93
2004;D2122E;Impôts sur des services déterminés;AUT;Autriche;EUR;Euro;0,90
2004;D91;Impôts en capital;AUT;Autriche;EUR;Euro;154,38
2004;D29G;Sous-compensation de la TVA (régime forfaitaire);AUT;Autriche;EUR;Euro;32,34
2004;D214D;Taxes à l'immatriculation des véhicules;AUT;Autriche;EUR;Euro;147,63
2004;D29A;Impôts sur les terrains, bâtiments et autres constructions;AUT;Autriche;EUR;Euro;589,12
2004;D21;Impôts sur les produits;AUT;Autriche;EUR;Euro;27628,86
2005;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0,00
2005;D51C;Impôts sur les gains de détention;AUT;Autriche;EUR;Euro;0,00
2005;D6141;Suppléments de cotisations de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2005;D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2005;D59B;Impôts de capitation;AUT;Autriche;EUR;Euro;0,00
2005;D29E;Autorisations d'exercer des activités commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0,00
2005;D214J;Bénéfices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0,00
2005;D59D;Paiements effectués par les ménages en vue de l’obtention de licences;AUT;Autriche;EUR;Euro;0,00
2005;D995A;Impôts sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
